Connecting to host 10.255.255.3, port 5001
[  6] local 10.255.255.1 port 55908 connected to 10.255.255.3 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec   362 KBytes  2.96 Mbits/sec    0   56.6 KBytes       
[  6]  41.00-42.00  sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
[  6]  42.00-43.00  sec  0.00 Bytes  0.00 Mbits/sec    0   18.4 KBytes       
[  6]  43.00-44.00  sec  0.00 Bytes  0.00 Mbits/sec    0   22.6 KBytes       
[  6]  44.00-45.00  sec  0.00 Bytes  0.00 Mbits/sec    2   14.1 KBytes       
[  6]  45.00-46.00  sec  0.00 Bytes  0.00 Mbits/sec    0   17.0 KBytes       
[  6]  46.00-47.00  sec  0.00 Bytes  0.00 Mbits/sec    2   12.7 KBytes       
[  6]  47.00-48.00  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  6]  48.00-49.00  sec  0.00 Bytes  0.00 Mbits/sec    2   7.07 KBytes       
[  6]  49.00-50.00  sec   382 KBytes  3.13 Mbits/sec    0   11.3 KBytes       
[  6]  50.00-51.00  sec  0.00 Bytes  0.00 Mbits/sec    2   5.66 KBytes       
[  6]  51.00-52.00  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  6]  52.00-53.00  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  6]  53.00-54.00  sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
[  6]  54.00-55.00  sec  0.00 Bytes  0.00 Mbits/sec    2   7.07 KBytes       
[  6]  55.00-56.00  sec  0.00 Bytes  0.00 Mbits/sec    1   7.07 KBytes       
[  6]  56.00-57.00  sec  0.00 Bytes  0.00 Mbits/sec    2   7.07 KBytes       
[  6]  57.00-58.00  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  6]  58.00-59.00  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  6]  59.00-60.00  sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-60.00  sec  3.03 MBytes  0.42 Mbits/sec   46             sender
[  6]   0.00-60.45  sec  2.20 MBytes  0.30 Mbits/sec                  receiver

iperf Done.
