Connecting to host 10.255.255.3, port 5001
[  6] local 10.255.255.1 port 33914 connected to 10.255.255.3 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec  84.8 KBytes  0.69 Mbits/sec    0   14.1 KBytes       
[  6]  37.00-38.00  sec   127 KBytes  1.04 Mbits/sec    2   14.1 KBytes       
[  6]  38.00-39.01  sec  0.00 Bytes  0.00 Mbits/sec    0   18.4 KBytes       
[  6]  39.01-40.00  sec  0.00 Bytes  0.00 Mbits/sec    2   12.7 KBytes       
[  6]  40.00-41.00  sec   127 KBytes  1.05 Mbits/sec    2   11.3 KBytes       
[  6]  41.00-42.00  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  6]  42.00-43.00  sec   127 KBytes  1.04 Mbits/sec    0   18.4 KBytes       
[  6]  43.00-44.00  sec  0.00 Bytes  0.00 Mbits/sec    0   22.6 KBytes       
[  6]  44.00-45.00  sec   127 KBytes  1.04 Mbits/sec    0   26.9 KBytes       
[  6]  45.00-46.00  sec  0.00 Bytes  0.00 Mbits/sec    0   32.5 KBytes       
[  6]  46.00-47.00  sec   127 KBytes  1.04 Mbits/sec    0   36.8 KBytes       
[  6]  47.00-48.00  sec   127 KBytes  1.04 Mbits/sec    2   21.2 KBytes       
[  6]  48.00-49.00  sec   127 KBytes  1.04 Mbits/sec    0   25.5 KBytes       
[  6]  49.00-50.01  sec  0.00 Bytes  0.00 Mbits/sec    0   29.7 KBytes       
[  6]  50.01-51.01  sec   127 KBytes  1.04 Mbits/sec    2   18.4 KBytes       
[  6]  51.01-52.01  sec   127 KBytes  1.05 Mbits/sec    0   22.6 KBytes       
[  6]  52.01-53.00  sec  0.00 Bytes  0.00 Mbits/sec    2   12.7 KBytes       
[  6]  53.00-54.00  sec   127 KBytes  1.04 Mbits/sec    0   18.4 KBytes       
[  6]  54.00-55.01  sec  0.00 Bytes  0.00 Mbits/sec    2   12.7 KBytes       
[  6]  55.01-56.00  sec   127 KBytes  1.05 Mbits/sec    0   17.0 KBytes       
[  6]  56.00-57.01  sec  0.00 Bytes  0.00 Mbits/sec    0   21.2 KBytes       
[  6]  57.01-58.00  sec  0.00 Bytes  0.00 Mbits/sec    2   15.6 KBytes       
[  6]  58.00-59.00  sec   127 KBytes  1.04 Mbits/sec    0   19.8 KBytes       
[  6]  59.00-60.00  sec  0.00 Bytes  0.00 Mbits/sec    2   14.1 KBytes       
[  6]  60.00-61.00  sec   127 KBytes  1.04 Mbits/sec    0   17.0 KBytes       
[  6]  61.00-62.01  sec  0.00 Bytes  0.00 Mbits/sec    0   21.2 KBytes       
[  6]  62.01-63.01  sec   127 KBytes  1.05 Mbits/sec    0   25.5 KBytes       
[  6]  63.01-64.00  sec  0.00 Bytes  0.00 Mbits/sec    2   22.6 KBytes       
[  6]  64.00-65.00  sec   127 KBytes  1.04 Mbits/sec    2   8.48 KBytes       
[  6]  65.00-66.00  sec  0.00 Bytes  0.00 Mbits/sec    2   12.7 KBytes       
[  6]  66.00-67.01  sec   127 KBytes  1.04 Mbits/sec    0   17.0 KBytes       
[  6]  67.01-68.00  sec  0.00 Bytes  0.00 Mbits/sec    2   15.6 KBytes       
[  6]  68.00-69.00  sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
[  6]  69.00-70.00  sec   127 KBytes  1.04 Mbits/sec    0   19.8 KBytes       
[  6]  70.00-71.00  sec  0.00 Bytes  0.00 Mbits/sec    0   24.0 KBytes       
[  6]  71.00-72.00  sec   127 KBytes  1.04 Mbits/sec    0   28.3 KBytes       
[  6]  72.00-73.00  sec   127 KBytes  1.04 Mbits/sec    0   33.9 KBytes       
[  6]  73.00-74.01  sec   127 KBytes  1.03 Mbits/sec    0   38.2 KBytes       
[  6]  74.01-75.01  sec   127 KBytes  1.05 Mbits/sec    2   26.9 KBytes       
[  6]  75.01-76.01  sec   127 KBytes  1.04 Mbits/sec    0   26.9 KBytes       
[  6]  76.01-77.01  sec   127 KBytes  1.03 Mbits/sec    2   24.0 KBytes       
[  6]  77.01-78.00  sec  0.00 Bytes  0.00 Mbits/sec    2   18.4 KBytes       
[  6]  78.00-79.01  sec  0.00 Bytes  0.00 Mbits/sec    2   14.1 KBytes       
[  6]  79.01-80.00  sec   127 KBytes  1.05 Mbits/sec    2   11.3 KBytes       
[  6]  80.00-81.01  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  6]  81.01-82.00  sec  0.00 Bytes  0.00 Mbits/sec    0   17.0 KBytes       
[  6]  82.00-83.01  sec   127 KBytes  1.04 Mbits/sec    0   22.6 KBytes       
[  6]  83.01-84.00  sec  0.00 Bytes  0.00 Mbits/sec    4   14.1 KBytes       
[  6]  84.00-85.02  sec   127 KBytes  1.03 Mbits/sec    0   18.4 KBytes       
[  6]  85.02-86.00  sec  0.00 Bytes  0.00 Mbits/sec    2   12.7 KBytes       
[  6]  86.00-87.01  sec  0.00 Bytes  0.00 Mbits/sec    2   9.90 KBytes       
[  6]  87.01-88.00  sec   127 KBytes  1.05 Mbits/sec    0   15.6 KBytes       
[  6]  88.00-89.00  sec  0.00 Bytes  0.00 Mbits/sec    1   11.3 KBytes       
[  6]  89.00-90.00  sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-90.00  sec  5.50 MBytes  0.51 Mbits/sec   75             sender
[  6]   0.00-90.29  sec  5.33 MBytes  0.49 Mbits/sec                  receiver

iperf Done.
